
,	,
Jennifer	np
Jesses	np
Jessica	np
Jess	np
Jesus	np
jet-lagged	jj
jet	nn
Jim	np
job	nn
Joe	np
Johannes	np
John	np
Johnny	np
Johnson	np
joining	vbg
joint	jj
joke	nn
$J-$O	ls
Jonathan	np
Jones	np
jot	vb
journey	nn
judgement	nn
judge	vb
juggle	vb
juicy	jj
July	np
jump	vb
Juneau	np
June	np
junky	jj
justifiable	jj
justified	vbn
just	rb
Kaiserhof-Hotel	np
Kaiserhof	np
$K-$A	ls
K"astner	np
Kavorkian	np
keen	jj
keeping	vbg
keeps	vbz
keep	vb
keep	vbp
Kennywood	np
kept	vbd
kept	vbn
Kerstin	np
Kevin	np
key	nn
kicks	vbz
kidding	vbg
kid	nn
kids	nns
Kieveta	np
kills	vbz
kill	vb
Kim	np
kind	jj
kind	nn
kinds	nns
king-size	jj
Kinter	np
kitchen	nn
Kitchen	np
Klee	np
$K-$L-$E-$I-$N	ls
Kleinschmidt	np
Kleinschmidt's	np
Kleinschmidt's	pos
$K-$L	ls
$K	ls
kneels	vbz
kneel	vb
Kneipe	fw
knelt	vbd
knelt	vbn
knew	vbd
knits	vbz
knit	vb
knit	vbd
knit	vbn
knocking	vbg
knock	vb
$K-$N-$O	ls
$K-$N-$O-$R-$R	ls
Knorr's	np
knowing	vbg
knowledge	nn
known	jj
known	vbn
knows	vbz
know	vb
know	vbp
kosher	jj
Kroepke	np
lab	nn
Labor-Day	np
ladies	nns
lady	nn
Lafayette	np
lagged	vbn
lag	nn
laid	vbd
lain	vbn
$L-$A	ls
Lamont	np
land	nn
Lane	np
language	nn
$L-$A	np
laptop	nn
largest	jjs
Larry	np
last	jj
lasts	vbz
last	vb
last	vbp
late	jj
lately	rb
late	rb
later	jjr
later	rbr
latest	jjs
latest	rbs
Latimer	np
Latin	np
latter	jj
Lauper	np
Laura	np
Lause	np
Lauser	np
lay	nn
layover	nn
lays	vbz
lay	vb
lay	vbd
lazy	jj
leading	jj
leads	vbz
lead	vb
league	nn
leaking	vbg
leans	vbz
leant	vbd
leant	vbn
lean	vb
lean	vbp
leaps	vbz
leapt	vbd
leapt	vbn
leap	vb
learns	vbz
learnt	vbd
learnt	vbn
learn	vb
least	rbs
leaves	vbz
leave	vb
leave	vbp
leaving	vbg
lecture	nn
lectures	nns
led	vbd
led	vbn
left	nn
left	rb
left	vbd
left	vbn
leg	nn
leisure	nn
$L-$E	ls
lends	vbz
lend	vb
length	nn
lenient	jj
lent	vbd
lent	vbn
Leroy	np
less	jjr
less	rbr
lets	vbz
letter	nn
letting	vbg
let	vb
let	vbd
let	vbn
let	vbp
Lew	np
library	nn
lied	vbd
lies	vbz
lie	vb
life	nn
lift	vb
lift	vbp
light	jj
lights	vbz
light	vb
liked	vbd
like	in
likely	jj
likely	rb
like	nn
like	rb
likes	vbz
like	vb
like	vbp
likewise	rb
liking	vbg
limited	jj
limited	vbn
limit	nn
limits	vbz
limo	nn
limousine	nn
Lincoln's	np
Linda	np
Linden	np
lined	vbn
line	nn
lines	nns
links	nns
$L-$I-$N	ls
Lisa	np
listed	vbn
listen	vb
listen	vbp
listings	nns
listing	vbg
list	nn
list	vb
literature	nn
little	jj
little	rb
lit	vbd
lit	vbn
live	jj
Lively	np
lives	vbz
live	vb
live	vbp
$L-$L-$E	ls
Lloyd-Webber	np
$L	ls
l	nn
loaded	vbn
load	nn
loads	nns
loathe	vbp
lobby	nn
local	jj
locally	rb
locals	nns
located	vbn
location	nn
locations	nns
Loccumer-Hof	np
Loccumer	np
logistics	nns
Lokkumer-Hof	np
Lola	np
London	np
longer	jjr
longer	rbr
long	jj
long	rb
looked	vbd
looked	vbn
looking	vbg
look	nn
looks	nns
looks	vbz
look	vb
look	vbp
Lord	np
loses	vbz
lose	vb
lose	vbp
losing	vbg
Los	np
lost	vbd
lost	vbn
lot	nn
lots	nns
lounge	nn
loved	vbd
lovely	jj
loves	vbz
love	vb
love	vbp
lower	jjr
lower	vb
lowest	jjs
low	jj
l	pp
$L-$S	ls
luck	nn
lucky	jj
Lucy	np
Lufthansa	np
luggage	nn
Luisenhof	np
luncheon	nn
lunch	nn
lunchtime	nn
luxurious	jj
luxury	nn
lying	vbg
Lyle	np
Lysander	np
machine	nn
Mac	np
made	vbd
made	vbn
Madrid	np
mail	nn
Maine	np
main	jj
mainly	rb
major	jj
make	nn
makes	vbz
make	vb
make	vbp
making	vbg
managed	vbn
management	nn
manage	vb
$M-$A-$N	ls
man	nn
Manuel	np
man	uh
many	jj
many	nn
March	np
Marcy	np
Maritim-Hotel	np
Maritim	np
marketing	nn
market	nn
marketplace	nn
mark	nn
Mark	np
marks	nns
mark	vb
married	jj
Marriott	np
Mary	np
Master-Card	np
match	nn
match	vb
material	nn
math	nn
matter	nn
matters	nns
matters	vbz
matter	vb
Matt	np
Maui	np
maximize	vb
Max	np
max	rb
maybe	rb
may	md
May	np
meal	nn
meals	nns
meaning	vbg
means	vbz
meantime	nn
meant	vbd
meant	vbn
mean	vb
mean	vbp
medium	jj
medium	nn
meeting	nn
meetings	nns
meeting	vbg
meet	nn
meets	vbz
meet	vb
meet	vbp
Meier	np
Memorial-Day	np
men	nns
mentality	nn
mentally	rb
mentioned	vbd
mentioned	vbn
mentioning	vbg
mention	vb
mention	vbp
me	pp
merely	rb
meridian	nn
message	nn
messed	vbn
mess	nn
mess	vb
mess	vbp
messy	jj
met	vbd
met	vbn
Metze	np
mhm	uh
Michael	np
midafternoon	nn
midday	nn
middle	jj
middle	nn
middling	jj
mid	jj
midnight	nn
mid-range	nn
$M-$I-$D-$T	ls
might	md
Mike	np
mile	nn
miles	nns
military	jj
military	nn
milking	vbg
$M-$I	ls
mind	nn
mind	vb
mind	vbp
mine	pp$
minimal	jj
minimum	rb
Minnesota	np
minus	in
minute	nn
minutes	nns
Miriam	np
miscommunication	nn
misheard	vbd
misheard	vbn
mishears	vbz
mishear	vb
misinterpreted	vbd
mislaid	vbd
mislaid	vbn
mislays	vbz
mislay	vb
misleads	vbz
mislead	vb
misled	vbd
misled	vbn
mispronounced	vbd
mispronouncing	vbg
misreads	vbz
misread	vb
misread	vbd
misread	vbn
missed	vbd
Misses	np
missing	vbg
mission	nn
Miss	np
misspells	vbz
misspell	vb
misspelt	vbd
misspelt	vbn
miss	vb
miss	vbp
mistake	nn
mistaken	vbn
mistakes	vbz
mistake	vb
Mister	np
mistook	vbd
misunderstands	vbz
misunderstand	vb
misunderstood	vbd
misunderstood	vbn
mixture	nn
mix	vb
$M	ls
mode	nn
modern	nn
$M-$O	ls
moment	nn
Monday	np
Mondays	nps
money	nn
Monogahela	np
Monongahela	np
monthly	jj
month	nn
months	nns
more	jjr
more	nn
more	rbr
$M-$O-$R-$I	ls
Morimoto	np
Morimoto's	np
Morimoto's	pos
$M-$O-$R	ls
morning	nn
mornings	nns
most	jjs
mostly	rb
most	nn
most	rbs
$M-$O-$T-$O	ls
Mount	np
moved	vbn
mover	nn
move	vb
move	vbp
movie	nn
movies	nns
moving	vbg
mowed	vbd
mowed	vbn
mows	vbz
mow	vb
mouse   nn
mice    nns
Mozart	np
Mr.	np
Mr	np
Mrs	np
Ms	np
much	jj
much	nn
much	rb
M"uller	np
multiply	vbp
Munich-Hannover	np
Munich	np
Murgatroyd	np
museum	nn
museums	nns
musical	nn
musicals	nns
music	nn
must	md
must	nn
mutual	jj
my	pp$
myself	pp
nah	uh
name	nn
names	nns
name	vb
name	vbp
narrow	vb
nasty	jj
Natalie	np
natural	jj
naturally	rb
nature	nn
nearest	jjs
near	in
near	jj
nearly	rb
neat	jj
necessarily	rb
necessary	jj
neck	nn
needed	vbd
needed	vbn
need	nn
needs	vbz
need	vb
need	vbp
neither	cc
neither	dt
neither	nn
neither	rb
Nelson	np
Nestroy	np
never	rb
new	jj
New	jj
New	np
New-York-City	np
New-York	np
next	in
next	jj
nice	jj
nicely	rb
nicer	jjr
niceties	nns
nice	uh
nicht	vbz
Nick	np
nightcap	nn
night	nn
nights	nns
Nils	np
nine	cd
nineish	cd
nineteen	cd
nineteenth	jj
ninety	cd
ninth	jj
nix	vb
$N	ls
Noah	np
nobody	nn
no	dt
Noehre	np
N"ohre-Hof	np
N"ohre	np
$N-$O	ls
none	nn
non-German	jj
nonrefundable	jj
non-smoking	jj
nonsmoking	jj
non-smoking	nn
nonstop	rb
noonish	jj
noon	nn
nope	uh
no	rb
normal	jj
normally	rb
north	nn
Northumberland	np
Nortons	nps
Norway	np
notebook	nn
note	nn
notes	nns
nothing	nn
noticed	vbd
noticed	vbn
notice	nn
notices	nns
notices	vbz
noticing	vbg
notify	vb
not	rb
no	uh
November	np
nowhere	rb
now	rb
number	nn
numbers	nns
Oakes	np
Oakland	np
Oakside	np
objections	nns
obligations	nns
obsession	nn
obviously	rb
occasion	nn
occupied	vbn
occur	vb
occur	vbp
o	cd
o'clock	rb
October	np
odd	jj
offering	vbg
offer	nn
offers	vbz
offer	vb
office	nn
official	jj
off	in
off	rb
off	rp
of	in
often	rb
$O-$G-$L-$E-$T-$H	ls
Oglethorpe	np
$O-$G-$L	ls
$O-$G	ls
oh	cd
oh	uh
okay	jj
okay	uh
okey	uh
old	jj
$O	ls
om	nn
once	in
once	rb
one	cd
O'Neill	np
oneish	cd
one	nn
ones	nns
on	in
only	jj
only	rb
$O	nn
on	rb
on	rp
onto	in
onward	rb
onwards	rb
oops	uh
opening	nn
openings	nns
open	jj
open	vb
opera	nn
operation	nn
opportunities	nns
opportunity	nn
opposed	vbn
opposite	jj
opposite	nn
oppressive	jj
opthamologist	nn
optimistic	jj
option	nn
options	nns
opt	vb
or	cc
order	nn
order	vb
ordinary	jj
organizational	jj
organized	vbn
organizer	nn
organize	vb
organize	vbp
organizing	vbg
originally	rb
$O-$R	ls
$O-$R-$P-$E	ls
other	jj
other	nn
otherwise	rb
ouch	uh
ought	md
ou	np
our	pp$
ourselves	pp
ours	pp$
outbids	vbz
outbid	vb
outbid	vbd
outbid	vbn
outdid	vbd
outdone	vbn
outdoors	rb
outdos	vbz
outdo	vb
outgrew	vbd
outgrown	vbn
outgrows	vbz
outgrow	vb
out	in
outlets	nns
out	nn
outran	vbd
out	rb
out	rp
outruns	vbz
outrun	vb
outrun	vbn
outsells	vbz
outsell	vb
outside	in
outside	nn
outside	rb
outskirts	nns
outsold	vbd
outsold	vbn
overate	vbd
overcame	vbd
overcasts	vbz
overcast	vb
overcast	vbd
overcast	vbn
overcomes	vbz
overcome	vb
overcome	vbn
overdid	vbd
overdone	vbn
overdos	vbz
overdo	vb
overdrawn	vbn
overdraws	vbz
overdraw	vb
overdrew	vbd
overeaten	vbn
overeats	vbz
overeat	vb
overhangs	vbz
overhang	vb
overheard	vbd
overheard	vbn
overhears	vbz
overhear	vb
overhung	vbd
overhung	vbn
over	in
overlaid	vbd
overlain	vbn
overlays	vbz
overlay	vb
overlay	vbd
overlies	vbz
overlie	vb
overnight	jj
overnight	nn
overnight	rb
over	nn
overpaid	vbd
overpaid	vbn
overpays	vbz
overpay	vb
overran	vbd
over	rb
overridden	vbn
overrides	vbz
override	vb
overrode	vbd
over	rp
overruns	vbz
overrun	vb
overrun	vbn
oversaw	vbd
overseas	rb
overseen	vbn
oversees	vbz
oversee	vb
oversells	vbz
oversell	vb
overshoots	vbz
overshoot	vb
overshot	vbd
overshot	vbn
oversleeps	vbz
oversleep	vb
overslept	vbd
overslept	vbn
oversold	vbd
oversold	vbn
overtaken	vbn
overtakes	vbz
overtake	vb
overthrew	vbd
overthrown	vbn
overthrows	vbz
overthrow	vb
overtime	nn
overtook	vbd
overview	nn
overworked	vbn
owner	nn
own	jj
own	vbp
packed	jj
packed	vbn
pack	nn
pack	vb
pack	vbp
paid	vbd
paid	vbn
painful	jj
pain	nn
painted	vbn
paintings	nns
painting	vbg
pairs	nns
palace	nn
Pamela's	np
paper	nn
papers	nns
paperwork	nn
parachute	vb
Paradise	np
pardon	vbp
parents'	nns
parents	nns
Paris	np
Parkhotel	np
parking	nn
parking	vbg
park	nn
Park	np
parks	nns
park	vb
par	nn
partaken	vbn
partakes	vbz
partake	vb
participate	vb
particular	jj
particularly	rb
partner	nn
partners	nns
part	nn
partook	vbd
partying	vbg
party	nn
party	vb
passed	vbn
passport	nn
pass	vb
past	in
past	nn
Patty	np
Paula	np
Paul	np
Pawlowski	np
paying	vbg
payment	nn
pays	vbz
pay	vb
pay	vbp
peachy	jj
Pegasus	np
$P-$E	ls
pencil	vb
pencil	vbp
pen	nn
pens	vbz
penthouse	nn
pent	vbd
pent	vbn
pen	vb
people	nns
perfect	jj
perfectly	rb
perfect	rb
performance-artists	nns
performance	nn
performed	vbn
perform	vb
per	fw
perhaps	rb
per	in
period	nn
periods	nns
personal	jj
personally	rb
person	nn
person's	nn
Pete	np
Peter	np
pet	jj
pharmaceutical	jj
Phelps	np
Philadelphia	np
Philly	np
$P-$H-$I	np
phone	nn
phone	vb
photographers	nns
phrase	nn
Piano-Man	np
piano	nn
picked	vbd
picked	vbn
picking	vbg
pick	nn
pick	vb
pick	vbp
picky	jj
picnic	nn
piece	nn
pin	nn
pin-plan	vb
pin	vb
piss	nn
Pittsburgh	np
pizza	nn
place	nn
places	nns
plane	nn
planes	nns
planned	vbn
planner	nn
planning	nn
planning	vbg
plan	nn
plans	nns
plans	vbz
plant	nn
plan	vb
plan	vbp
plastered	vbn
platform	nn
played	vbn
player	nn
playing	nn
playing	vbg
play	nn
plays	nns
play	vb
pleads	vbz
plead	vb
pleasant	jj
pleased	jj
pleased	vbn
please	rb
please	vb
pleasure	nn
pled	vbd
pled	vbn
plenty	nn
plot	nn
$P	ls
plus	in
plus	rb
$P-$M	nn
point	nn
points	nns
pooch	nn
pool	nn
pools	nns
poor	jj
poorly	rb
pop	vb
portion	nn
'	pos
posh	jj
positive	jj
possibilities	nns
possibility	nn
possible	jj
possibly	rb
postponed	vbn
postpone	vb
potential	jj
potentially	rb
pottery	nn
pouring	vbg
power	nn
$P-$P-$A	ls
practical	jj
practically	rb
preceding	jj
precisely	rb
preferable	jj
preferably	rb
preference	nn
preferences	nns
preferred	vbn
prefer	vb
prefer	vbp
prejudice	nn
prelims	nns
preparation	nn
preparations	nns
prepared	vbn
prepare	vb
preparing	vbg
presentation	nn
present	vb
pre-sets	vbz
pre-set	vb
pre-set	vbd
pre-set	vbn
president	nn
pressing	jj
pressure	nn
presume	vb
presume	vbp
presuming	vbg
pretend	vb
pretty	rb
pretzels	nns
previous	jj
previously	rb
priced	vbn
price	nn
prices	nns
pricewise	rb
pricey	jj
Primanti	np
Primanti's	np
prince	nn
print	nn
print	vb
Prinzenhof	np
prior	rb
prior	rbr
private	jj
probably	rb
problem	nn
problems	nns
proceed	vb
procrastinator	nn
production	nn
productive	jj
product	nn
Professor	np
professors	nns
profitable	jj
program	nn
progress	nn
project	nn
projects	nns
promising	jj
promptness	nn
pronounced	vbd
pronounced	vbn
pronounce	vb
pronouncing	vbg
proofreads	vbz
proofread	vb
proofread	vbd
proofread	vbn
properly	rb
proposal	nn
proposals	nns
proposed	vbn
proposes	vbz
propose	vb
proposing	vbg
proved	vbd
proven	vbn
proves	vbz
prove	vb
provided	vbd
provide	vb
public	jj
pub	nn
pubs	nns
pulled	vbd
pull	vb
purchased	vbd
purchase	vb
purchasing	vbg
purely	rb
pushed	vbn
pushing	vbg
push	vb
push	vbp
Putis	np
puts	vbz
putting	vbg
put	vb
put	vbd
put	vbn
put	vbp
$Q	ls
quality	nn
qualms	nns
quarterly	jj
quarter	nn
quarters	nns
$Q-$U-$E	ls
questionnaire	nn
question	nn
questions	nns
quicker	jjr
quickest	jjs
quick	jj
quickly	rb
quick	rb
quiet	jj
$Q-$U-$I	ls
quite	pdt
quite	rb
quiting	vbg
quits	jj
quits	vbz
quit	vb
quit	vbd
quit	vbn
race	nn
Rachel	np
Rach	np
radius	nn
railroad	nn
railway	nn
raining	vbg
random	jj
ranged	vbn
range	nn
ranges	nns
range	vbp
rang	vbd
ran	vbd
rap	vb
rate	nn
rates	nns
rather	rb
rather	vb
raunchy	jj
reach	vb
reach	vbp
reading	vbg
readjust	vb
reads	vbz
read	vb
read	vbd
read	vbn
ready	jj
ready	rb
realistic	jj
realized	vbd
realize	vb
real	jj
really	rb
real	rb
rearrange	vb
reasonable	jj
reasonably	rb
reason	nn
reasons	nns
rebinds	vbz
rebind	vb
rebound	vbd
rebound	vbn
rebuilds	vbz
rebuild	vb
rebuilt	vbd
rebuilt	vbn
re-cap	vb
recap	vb
recasts	vbz
recast	vb
recast	vbd
recast	vbn
received	vbn
receive	vb
receiving	vbg
recently	rb
recital	nn
reckon	vbp
recognize	vbp
recommendation	nn
recommendations	nns
recommended	vbd
recommended	vbn
recommends	vbz
recommend	vb
recommend	vbp
recover	vb
recover	vbp
recreational	jj
recuperate	vb
recuperating	vbg
redid	vbd
Red	np
redone	vbn
redos	vbz
redo	vb
referring	vbg
refreshed	vbn
refresh	vb
regarding	vbg
regional	jj
region	nn
regular	jj
relation	nn
relatively	rb
relatives	nns
relaxing	jj
relaxing	vbg
relax	vb
relax	vbp
re-lays	vbz
re-lay	vb
relieving	jj
religiously	rb
reluctant	jj
remade	vbd
remade	vbn
remakes	vbz
remake	vb
remarkable	jj
remarkably	rb
remember	vb
remember	vbp
reminds	vbz
remotely	rb
removed	vbn
rendering	nn
rental	jj
renting	vbg
rent	jj
rent	vb
rent	vbp
repaid	vbd
repaid	vbn
repays	vbz
repay	vb
repeating	vbg
repeat	vb
repeat	vbp
repetitious	jj
reply	vbp
report	nn
reports	nns
representation	nn
requested	vbd
requests	nns
requirements	nns
requires	vbz
reran	vbd
reruns	vbz
rerun	vb
rerun	vbn
rescheduled	vbn
reschedule	vb
rescheduling	vbg
researched	vbn
research	nn
resells	vbz
resell	vb
reservation	nn
reservations	nns
reserved	vbn
reserve	vb
reserve	vbp
resets	vbz
reset	vb
reset	vbd
reset	vbn
resold	vbd
resold	vbn
resolve	vb
resort	vb
resource	nn
resources	nn
respectable	jj
respective	jj
respectively	rb
restaurant	nn
restaurants	nns
rested	vbn
restful	jj
rest	nn
restrictions	nns
rest	vb
rest	vbp
results	nns
rethinks	vbz
rethink	vb
rethought	vbd
rethought	vbn
returning	vbg
return	nn
returns	nns
return	vb
return	vbp
$R-$E-$U-$S-$E	ls
reverse	nn
review	nn
review	vb
review	vbp
rewinds	vbz
rewind	vb
rewound	vbd
rewound	vbn
rewrites	vbz
rewrite	vb
rewritten	vbn
rewrote	vbd
Ribeau	np
Richard	np
rich	jj
Richter	np
Rickhoff	np
riday	np
ridden	vbn
ride	nn
rides	vbz
ride	vb
riding	vbg
rids	vbz
rid	vb
rid	vbd
right	jj
right	nn
righto	uh
right	rb
right	uh
$R-$I-$N-$G	ls
rings	vbz
ring	vb
risen	vbn
riser	nn
rises	vbz
rise	vb
risk	nn
ritzy	jj
river	nn
$R	ls
road	nn
Robert	np
Rob	np
rode	vbd
roger	nn
roger	rb
role	nn
Rome	np
room	nn
rooms	nns
rose	vbd
Rothenbaumchaussee	np
rough	jj
roughly	rb
rough	vb
row	nn
royal	jj
Royal	np
$R-$R	ls
rules	nns
rules	vbz
rule	vb
rung	vbn
running	vbg
runs	vbz
run	vb
run	vbn
run	vbp
rushed	vbn
rushing	vbg
rush	nn
rush	vb
Russell	np
rusty	jj
sacred	jj
sacrifices	nns
safe	jj
safer	jjr
safe	vb
said	vbd
said	vbn
salads	nns
sale	nn
same	jj
Sam	np
Sam-Sheppard	np
Sander	np
San-Diego	np
sand	nn
sang	vbd
sanity	nn
sank	vbd
San	np
satisfactory	jj
satisfied	vbn
satisfying	jj
Saturday	np
Saturdays	nps
sat	vbd
sat	vbn
sauna	nn
saunas	nns
sausage	nn
saved	vbd
save	vb
save	vbp
savings	nns
saving	vbg
sawed	vbd
saws	vbz
saw	vb
saw	vbd
saying	vbg
says	vbz
say	vb
say	vbp
Scapoff	np
Scarazzo	np
scare	vb
scar	nn
scattered	jj
scenario	nn
scene	nn
scenery	nn
scenes	nns
Schauspielhaus	np
scheduled	jj
scheduled	vbd
scheduled	vbn
schedule	nn
schedules	nns
schedules	vbz
schedule	vb
schedule	vbp
scheduling	nn
scheduling	vbg
Schenley	np
Schlosshotel	np
Schloss	nn
Schloss	np
$S-$C-$H	ls
Schmidt	np
Schneider	np
school	nn
scope	vb
Scot	np
Scott	np
screen	nn
screwed	vbd
screwed	vbn
screw	vb
scribbled	vbd
scuba	nn
sea	nn
Sean	np
season	nn
season's	nn
seat	nn
seats	nns
Seattle	np
sec	nn
second	jj
second	nn
seconds	nns
secretaries	nns
secretary	nn
section	nn
seeing	vbg
seeks	vbz
seek	vb
seemed	vbd
seems	vbz
seem	vb
seem	vbp
seen	vbn
sees	vbz
seethes	vbz
seethe	vb
see	vb
see	vbp
self	nn
sells	vbz
sell	vb
seminar	nn
seminars	nns
sends	vbz
send	vb
send	vbp
sense	nn
sensible	jj
sent	vbd
sent	vbn
separate	jj
separately	rb
September	np
sequence	nn
series	nn
serious	jj
serve	vb
serve	vbp
service	nn
session	nn
set	nn
sets	vbz
setting	nn
setting	vbg
settled	vbn
settles	vbz
settle	vb
set-up	nn
setup	vb
set	vb
set	vbd
set	vbn
set	vbp
seven	cd
seventeen	cd
seventeenth	jj
seventh	jj
sevent	jj
seventy	cd
several	dt
several	jj
severely	rb
sewed	vbd
sewn/sewed	vbn
sews	vbz
sew	vb
Seymour	np
Shady	np
Shadyside	nn
shaken	vbn
shaker	nn
shakes	vbz
shake	vb
shall	md
shalls	vbz
shall	vb
shame	nn
shareholder	nn
share	vb
sharing	vbg
shaved	vbd
shaven	vbn
shaves	vbz
shave	vb
sheared	vbd
shears	vbz
shear	vb
sheds	vbz
shed	vb
shed	vbd
shed	vbn
sheet	nn
shepherd	nn
she	pp
Sheppard	np
shift	vb
shined	vbd
shined	vbn
shines	vbz
shine	vb
shirts	nns
shit	nn
shoed/shod	vbn
shoed	vbd
shoes	vbz
shoe	vb
shook	vbd
shoots	vbz
shoot	vb
shoot	vbp
shop	nn
shopping	nn
shopping	vbg
shop	vb
shorn	vbn
short	jj
shortly	rb
shot	nn
shot	vbd
shot	vbn
should	md
shouldn't	md
should	vbd
should	vbn
showed	vbd
shower	nn
showing	nn
showing	vbg
show	nn
shown	vbn
shows	nns
shows	vbz
show	vb
show	vbp
shrinks	vbz
shrink	vb
shrunken	vbn
shrunk	vbd
shucks	uh
shuts	vbz
shuttle	nn
shut	vb
shut	vbd
shut	vbn
Siam	np
sick	jj
side	nn
Side	nn
Sie	fw
SIGgraph	np
sight	nn
sightseeing	nn
sightseeing	vbg
sights	nns
signature	nn
significant	jj
silly	jj
similar	jj
simple	jj
since	in
single	jj
single	nn
singles	nns
sings	vbz
sing	vb
sing	vbp
sinks	vbz
sink	vb
sir	nn
Sir	np
sister	nn
site	nn
sites	nns
sits	vbz
situated	vbn
situation	nn
sit	vb
sit	vbp
six	cd
sixish	cd
sixteen	cd
sixteen	jj
sixteenth	jj
sixth	jj
sixty	cd
size	nn
sizes	nns
skiing	vbg
skimped	vbn
skip	vb
skip	vbp
slain	vbn
slams	nns
slays	vbz
slay	vb
sleeping	vbg
sleep	nn
sleeps	vbz
sleep	vb
sleep	vbp
slept	vbd
slept	vbn
slew	vbd
slides	vbz
slide	vb
slid	vbd
slid	vbn
slight	jj
slightly	rb
slings	vbz
sling	vb
slips	nns
slits	vbz
slit	vb
slit	vbd
slit	vbn
slot	nn
slots	nns
$S-$L-$O-$W-$I-$G	ls
Slowig	np
Slowig's	pos
slowing	vbg
slow	jj
$S	ls
slung	vbd
slung	vbn
smaller	jjr
small	jj
smart	jj
smell	nn
smells	vbz
smell	vb
smelt	vbd
smelt	vbn
smites	vbz
smite	vb
Smith	np
smitten	vbn
smokes	vbz
smoke	vb
smoke	vbp
smoking	nn
smoking	vbg
smote	vbd
snack	nn
sneaks	vbz
sneak	vb
snuck	vbd
snuck	vbn
Snyder	np
soccer	nn
socializing	vbg
social	jj
society	nn
socket	nn
sodden	vbn
sod	vbd
sofa	nn
so	in
sold	vbd
sold	vbn
solid	jj
solution	nn
solutions	nns
somebody	nn
some	dt
somehow	rb
some	nn
someone	nn
someplace	nn
some	rb
something	nn
sometime	nn
sometimes	rb
somewhat	rb
somewhere	rb
son	nn
sooner	jjr
sooner	rbr
soon	rb
so	rb
sore	jj
sorry	jj
sorry	uh
sort	nn
sought	vbd
sought	vbn
so	uh
sounded	vbd
sound	nn
sounds	vbz
sound	vb
sound	vbp
South	jj
South	np
Soutome	np
sowed	vbd
sown	vbn
sows	vbz
sow	vb
spaced	vbn
space	nn
Spaghetti	np
span	vbd
spare	jj
spare	vb
spat	vbd
spat	vbn
speaker	nn
speaking	vbg
speaks	vbz
speak	vb
special	jj
specifically	rb
specific	jj
specifics	nns
specify	vb
sped	vbd
speeds	vbz
speed	vb
speed	vbn
spelled	vbn
spelling	nn
spelling	vbg
spells	vbz
spell	vb
spelt	vbd
spelt	vbn
spending	vbg
spends	vbz
spend	vb
spend	vbp
spent	vbd
spent	vbn
spills	vbz
spill	vb
spilt	vbd
spilt	vbn
spins	vbz
spin	vb
spirit	nn
spits	vbz
spit	vb
splits	vbz
split	vb
split	vbd
split	vbn
splurge	nn
spoils	vbz
spoilt	vbd
spoilt	vbn
spoil	vb
spoken	vbn
spoke	vbd
spontaneously	rb
spoon-fed	vbd
spoon-feeds	vbz
spoon-feed	vb
spoon-feed	vbn
sporting	nn
sport	nn
Sport-Obermier	np
sports	nns
Sports	np
's	pos
spot	nn
spots	nns
's	pp
s	pp
sprang	vbd
spread	nn
spreadsheet	nn
spreads	vbz
spread	vb
spread	vbd
spread	vbn
Sprengel-Museum	np
Sprengel	np
springs	vbz
spring	vb
sprung	vbn
spun	vbn
Square	np
squeeze	vb
squish	vb
Staatstheater	np
staff	nn
stagger	vb
stain	nn
Stairway-Queen	np
standard	jj
standard	nn
standing	vbg
stand	nn
stands	vbz
stand	vb
stank	vbd
star	nn
started	vbd
started	vbn
starting	nn
starting	vbg
start	nn
starts	vbz
start	vb
start	vbp
state	nn
States	nps
station	nn
Station	np
stations	nns
stayed	vbd
stayed	vbn
staying	vbg
stay	nn
stay	vb
stay	vbp
steak	nn
steals	vbz
steal	vb
steam	nn
Steinhuder-Meer	np
step	nn
step	vb
$S-$T-$E-$R	ls
sticks	vbz
stick	vb
stick	vbp
Stift-Museum	np
still	rb
stings	vbz
sting	vb
stinks	vbz
stink	vb
stock	nn
stolen	vbn
stole	vbd
stomach	vb
stone	nn
stood	vbd
stood	vbn
stop	nn
stopped	vbd
stopped	vbn
stop	vb
stop	vbp
storm	nn
straight	jj
straight	rb
straining	vbg
strain	nn
strain	vb
strategy	nn
stray	vb
street	nn
Street	np
stressful	jj
stress	nn
stretching	vbg
stretch	nn
stretch	vb
strewed	vbd
strewed	vbn
strews	vbz
strew	vb
stridden	vbn
strides	vbz
stride	vb
strikes	vbz
strike	vb
strings	vbz
string	vb
striven	vbn
strives	vbz
strive	vb
strode	vbd
Stromberg	np
strong	jj
strove	vbd
struck	vbd
struck	vbn
structure	nn
strung	vbd
strung	vbn
stuck	vbd
stuck	vbn
student	nn
students	nns
stuff	nn
stung	vbd
stung	vbn
stunk	vbn
stupendous	jj
stupid	jj
Stush	np
Stuttgart	np
style	nn
subtitles	nns
subtracting	vbg
subtract	vb
subtract	vbp
suburbs	nns
subway	nn
Subway	np
successful	jj
success	nn
such	dt
such	in
such	pdt
such	rb
sucker	nn
sucks	vbz
suffering	vbg
suffice	vb
Sugar	np
suggested	vbd
suggested	vbn
suggestion	nn
suggestions	nns
suggest	vb
suggest	vbp
suite	nn
suits	vbz
suit	vb
suit	vbp
Sullivan	np
summer	nn
Summers	np
Sunday	np
Sundays	nps
sung	vbn
sunk	vbn
